Customer_ID,Net_Worth,Annual_Income,Risk_Appetite,Primary_Investment,Secondary_Investment,Savings_Percentage,Debt_to_Income_Ratio,Retirement_Fund,Preferred_Advisor
CUSTW-00931,3736056.98,98919.53,High,Cryptocurrency,Bonds,24.5,0.04,10897.94,Human Financial Advisor
CUSTW-00932,4125537.12,41746.44,Moderate,Stocks,Mutual Funds,33.52,0.78,858538.27,Robo-Advisor
CUSTW-00933,542939.73,216108.04,Moderate,Cryptocurrency,Bonds,19.71,0.27,588974.5,None
CUSTW-00934,1048314.3,443777.57,High,Real Estate,Bonds,25.61,0.82,157866.78,None
CUSTW-00935,2828243.38,180313.91,Moderate,Real Estate,Bonds,7.98,0.73,402980.23,Human Financial Advisor
CUSTW-00936,407289.54,244291.94,Moderate,Stocks,Bonds,49.6,0.6,61059.9,None
CUSTW-00937,2435992.09,296521.1,Low,Stocks,Bonds,43.43,0.51,695467.64,Human Financial Advisor
CUSTW-00938,1016784.16,263151.98,High,Gold,Real Estate,41.41,0.33,530538.07,None
CUSTW-00939,1192375.93,324036.19,High,Bonds,Gold,46.01,0.82,683343.99,Robo-Advisor
CUSTW-00940,1394414.27,431783.04,High,Real Estate,Stocks,10.59,0.99,348211.0,Human Financial Advisor
CUSTW-00941,1056478.47,38082.98,Moderate,Gold,Real Estate,11.61,0.08,734084.19,Robo-Advisor
CUSTW-00942,2671611.21,371004.66,High,Mutual Funds,Cryptocurrency,35.05,0.52,109043.83,Human Financial Advisor
CUSTW-00943,496371.71,247379.49,Moderate,Gold,Real Estate,17.79,0.19,282215.83,Human Financial Advisor
CUSTW-00944,3519297.8,134401.24,High,Gold,Savings,14.86,0.43,791167.18,Human Financial Advisor
CUSTW-00945,4980541.63,149915.1,Low,Gold,Savings,21.76,0.49,291329.19,None
CUSTW-00946,3953655.74,105385.21,Moderate,Bonds,Gold,10.89,0.39,166812.19,Human Financial Advisor
CUSTW-00947,1655990.84,70080.42,High,Real Estate,Gold,20.31,0.77,774397.75,Human Financial Advisor
CUSTW-00948,2979516.56,67279.36,Low,Stocks,Bonds,21.04,0.58,249586.07,Robo-Advisor
CUSTW-00949,2398114.63,319542.66,High,Bonds,Real Estate,21.95,0.76,500100.77,None
CUSTW-00950,788188.49,158965.11,High,Cryptocurrency,Gold,47.58,0.41,704033.51,Human Financial Advisor
CUSTW-00951,541055.85,243754.23,High,Cryptocurrency,Gold,36.95,0.38,935149.98,Human Financial Advisor
CUSTW-00952,2292638.65,100656.57,Moderate,Cryptocurrency,Mutual Funds,11.1,0.68,610040.79,Robo-Advisor
CUSTW-00953,711000.7,288388.75,High,Real Estate,Gold,25.81,0.32,408401.58,None
CUSTW-00954,453049.5,469135.28,Low,Gold,Bonds,40.72,0.72,476754.08,None
CUSTW-00955,3618413.68,61676.95,High,Stocks,Savings,29.65,0.04,611477.08,Human Financial Advisor
CUSTW-00956,4757494.31,454546.2,Moderate,Real Estate,Mutual Funds,27.55,0.34,354073.38,None
CUSTW-00957,1559204.35,452078.65,High,Cryptocurrency,Real Estate,17.54,0.92,350712.4,Robo-Advisor
CUSTW-00958,1790263.44,105323.41,Low,Real Estate,Stocks,46.58,0.74,469888.48,Robo-Advisor
CUSTW-00959,2820896.04,231525.8,Low,Cryptocurrency,Savings,18.54,0.17,813661.6,Robo-Advisor
CUSTW-00960,1978337.33,113858.44,Low,Stocks,Savings,9.65,0.8,119838.16,None
CUSTW-00961,233942.32,294191.12,Low,Stocks,Mutual Funds,47.8,0.82,64453.17,Robo-Advisor
CUSTW-00962,2126131.82,473387.93,Moderate,Bonds,Mutual Funds,21.31,0.14,49003.15,Robo-Advisor
CUSTW-00963,4274395.42,35483.2,High,Stocks,Gold,49.44,0.89,728915.27,None
CUSTW-00964,4293280.88,255036.18,Moderate,Mutual Funds,Savings,46.4,0.27,785423.81,Robo-Advisor
CUSTW-00965,3010491.69,315566.64,Moderate,Stocks,Real Estate,25.7,0.49,226342.43,Robo-Advisor
CUSTW-00966,2152178.16,302866.95,Low,Stocks,Mutual Funds,21.11,0.73,504208.69,None
CUSTW-00967,662270.04,144413.81,Moderate,Bonds,Savings,40.74,0.06,724575.91,Robo-Advisor
CUSTW-00968,2333014.73,182559.8,Moderate,Stocks,Savings,13.07,0.22,724664.39,Robo-Advisor
CUSTW-00969,4814809.56,348301.65,Low,Stocks,Cryptocurrency,8.22,0.01,807335.47,Human Financial Advisor
CUSTW-00970,3759804.24,487762.28,High,Savings,Mutual Funds,50.0,0.86,838105.11,Human Financial Advisor
CUSTW-00971,2796289.32,317558.55,High,Gold,Cryptocurrency,24.07,0.42,509053.98,Robo-Advisor
CUSTW-00972,2495280.07,57212.67,Low,Gold,Stocks,6.02,0.61,530101.67,Human Financial Advisor
CUSTW-00973,4861905.0,292257.55,High,Savings,Real Estate,35.15,0.36,991369.13,None
CUSTW-00974,3248945.16,400556.26,Low,Bonds,Savings,32.96,0.93,375475.78,Human Financial Advisor
CUSTW-00975,3886979.97,221282.93,Moderate,Cryptocurrency,Stocks,9.74,0.72,788327.62,Human Financial Advisor
CUSTW-00976,1092657.19,115122.58,Low,Gold,Real Estate,12.38,0.78,88790.82,Human Financial Advisor
CUSTW-00977,3346526.62,134042.45,Low,Stocks,Savings,33.14,0.5,733452.77,None
CUSTW-00978,4124147.44,154263.37,High,Real Estate,Cryptocurrency,6.0,0.31,829983.67,Human Financial Advisor
CUSTW-00979,208641.68,320483.41,Moderate,Stocks,Gold,32.5,0.04,27052.7,Robo-Advisor
CUSTW-00980,4597679.78,284474.31,Low,Bonds,Real Estate,6.49,0.99,919185.95,None
CUSTW-00981,702983.82,182180.03,Moderate,Cryptocurrency,Gold,23.53,0.56,106278.62,Human Financial Advisor
CUSTW-00982,1228965.21,205862.52,Moderate,Real Estate,Cryptocurrency,30.22,0.33,846676.52,Robo-Advisor
CUSTW-00983,3680396.0,267078.2,High,Mutual Funds,Stocks,47.93,0.8,329130.46,Robo-Advisor
CUSTW-00984,3464398.0,281851.72,Moderate,Cryptocurrency,Stocks,43.18,0.04,289949.75,Robo-Advisor
CUSTW-00985,914231.27,53684.74,Moderate,Stocks,Gold,31.9,0.73,288201.06,Robo-Advisor
CUSTW-00986,644254.39,73196.65,Low,Stocks,Gold,33.12,0.85,287150.29,None
CUSTW-00987,3950273.94,208839.53,High,Savings,Cryptocurrency,30.54,0.65,601576.26,None
CUSTW-00988,4817140.24,482150.03,High,Real Estate,Stocks,5.94,0.89,419548.42,None
CUSTW-00989,4977017.48,363188.71,High,Savings,Stocks,26.44,0.75,417910.64,Robo-Advisor
CUSTW-00990,1963961.27,328885.83,Low,Real Estate,Cryptocurrency,19.64,0.89,699836.07,Human Financial Advisor
CUSTW-00991,846533.9,190993.15,High,Savings,Stocks,30.07,0.47,537920.65,None
CUSTW-00992,2692807.51,103944.61,Moderate,Mutual Funds,Gold,15.31,0.13,906099.72,Robo-Advisor
CUSTW-00993,1275370.58,476817.51,Low,Cryptocurrency,Real Estate,14.6,0.47,305683.83,Human Financial Advisor
CUSTW-00994,1770599.0,472397.04,Low,Gold,Savings,36.63,0.49,611685.43,Robo-Advisor
CUSTW-00995,4833386.25,462369.17,High,Gold,Mutual Funds,10.71,0.74,591806.61,None
CUSTW-00996,3144762.55,34077.47,Low,Cryptocurrency,Stocks,46.73,0.68,662269.93,Robo-Advisor
CUSTW-00997,1475659.59,48484.34,High,Gold,Mutual Funds,10.86,0.99,69288.81,Robo-Advisor
CUSTW-00998,2736572.14,101744.0,High,Savings,Stocks,48.11,0.06,512662.08,Human Financial Advisor
CUSTW-00999,514660.6,467142.35,Low,Gold,Stocks,25.12,0.57,120575.1,None
CUSTW-01000,828479.34,353940.99,High,Mutual Funds,Bonds,35.48,0.91,728971.15,Robo-Advisor
CUSTW-01001,2559068.02,441956.64,High,Real Estate,Bonds,25.83,0.09,831045.47,Human Financial Advisor
CUSTW-01002,2426284.28,338719.05,High,Stocks,Mutual Funds,25.31,0.54,697059.97,Robo-Advisor
CUSTW-01003,209504.83,110519.43,High,Bonds,Cryptocurrency,7.72,0.92,941931.75,Robo-Advisor
CUSTW-01004,1113728.12,191560.28,Low,Stocks,Gold,49.51,0.93,296181.49,None
CUSTW-01005,2571625.78,166153.35,Moderate,Bonds,Stocks,48.53,0.29,293472.26,Human Financial Advisor
CUSTW-01006,293132.02,61241.57,High,Real Estate,Gold,8.79,0.21,845146.32,Robo-Advisor
CUSTW-01007,1096074.37,231235.64,High,Bonds,Real Estate,44.79,0.61,235336.84,None
CUSTW-01008,3847127.2,438848.87,High,Stocks,Real Estate,35.19,0.26,3795.49,Human Financial Advisor
CUSTW-01009,1621721.38,405808.69,High,Mutual Funds,Cryptocurrency,48.08,0.67,695056.66,None
CUSTW-01010,490606.6,493073.73,Low,Real Estate,Cryptocurrency,11.37,0.1,814539.62,Robo-Advisor
CUSTW-01011,4528370.98,294486.15,Moderate,Stocks,Cryptocurrency,15.84,0.3,791948.53,Robo-Advisor
CUSTW-01012,3374917.07,324912.33,Moderate,Bonds,Gold,38.27,0.3,293228.69,None
CUSTW-01013,1905276.06,68243.19,Moderate,Real Estate,Gold,12.3,0.43,244139.29,Human Financial Advisor
CUSTW-01014,4976629.98,117914.7,Moderate,Bonds,Savings,46.9,0.24,800572.55,None
CUSTW-01015,1123976.88,320262.8,High,Cryptocurrency,Real Estate,10.12,0.15,768512.37,None
CUSTW-01016,2098034.44,276692.88,Moderate,Savings,Mutual Funds,21.36,0.69,345505.62,Human Financial Advisor
CUSTW-01017,3127832.38,78794.45,Moderate,Savings,Stocks,42.24,0.51,314144.65,Robo-Advisor
CUSTW-01018,82801.14,380951.87,Moderate,Real Estate,Cryptocurrency,19.47,0.75,817647.26,None
CUSTW-01019,2157373.83,426250.68,High,Cryptocurrency,Savings,27.39,0.8,969069.6,Robo-Advisor
CUSTW-01020,4416991.91,442041.71,High,Real Estate,Cryptocurrency,24.97,0.06,527893.57,None
CUSTW-01021,383590.57,457869.47,High,Savings,Mutual Funds,14.69,0.47,897018.34,None
CUSTW-01022,4810489.18,350405.5,Moderate,Gold,Real Estate,38.31,0.8,254527.49,Human Financial Advisor
CUSTW-01023,4522551.25,93261.45,Moderate,Gold,Stocks,21.17,0.41,504508.26,Robo-Advisor
CUSTW-01024,1767566.79,142560.43,Moderate,Savings,Gold,28.23,0.87,954148.18,Robo-Advisor
CUSTW-01025,3821587.35,350855.11,Low,Real Estate,Bonds,8.39,0.98,174032.55,Robo-Advisor
CUSTW-01026,4825380.9,456013.72,Low,Stocks,Mutual Funds,18.87,0.91,495581.03,None
CUSTW-01027,2756971.39,44917.91,High,Bonds,Gold,39.83,0.5,42206.45,None
CUSTW-01028,450745.19,314266.04,Moderate,Real Estate,Gold,32.23,0.74,130026.93,None
CUSTW-01029,1175006.82,409066.88,High,Bonds,Savings,6.98,0.3,109459.27,Human Financial Advisor
CUSTW-01030,308451.39,290481.52,Moderate,Stocks,Cryptocurrency,38.04,0.11,720415.97,Human Financial Advisor
CUSTW-01031,692238.36,321803.48,Low,Gold,Mutual Funds,49.6,0.24,875050.29,Robo-Advisor
CUSTW-01032,4648907.21,261027.38,Low,Mutual Funds,Cryptocurrency,31.91,0.67,6531.06,Human Financial Advisor
CUSTW-01033,1775775.91,144500.05,High,Cryptocurrency,Gold,49.98,0.49,681464.91,Robo-Advisor
CUSTW-01034,2951172.58,348196.08,Moderate,Mutual Funds,Stocks,36.92,0.78,27123.52,Robo-Advisor
CUSTW-01035,4058432.44,179525.56,Low,Stocks,Mutual Funds,33.17,0.56,293455.89,Human Financial Advisor
CUSTW-01036,2121356.47,292765.99,High,Bonds,Mutual Funds,36.5,0.78,560716.35,Human Financial Advisor
CUSTW-01037,3631576.38,265145.6,Low,Savings,Cryptocurrency,36.82,0.34,420730.79,None
CUSTW-01038,3384101.82,244407.57,Moderate,Mutual Funds,Stocks,46.52,0.16,765923.47,Robo-Advisor
CUSTW-01039,4665844.45,146495.21,High,Savings,Gold,37.96,0.79,153031.45,None
CUSTW-01040,2223515.25,196529.19,Moderate,Cryptocurrency,Mutual Funds,18.25,0.96,615537.52,None
CUSTW-01041,4368836.18,258087.3,Moderate,Bonds,Savings,20.98,0.33,997957.12,Human Financial Advisor
CUSTW-01042,2467473.14,30013.28,Moderate,Real Estate,Mutual Funds,43.04,0.65,566305.42,Human Financial Advisor
CUSTW-01043,3467420.03,318616.23,Low,Cryptocurrency,Real Estate,26.56,0.1,799790.4,None
CUSTW-01044,4487603.86,210819.54,High,Bonds,Mutual Funds,19.88,0.9,444973.8,Robo-Advisor
CUSTW-01045,1390905.23,433689.82,Low,Cryptocurrency,Savings,15.55,0.76,106780.93,Robo-Advisor
CUSTW-01046,1985376.16,379301.49,High,Mutual Funds,Real Estate,43.32,0.75,840348.29,Human Financial Advisor
CUSTW-01047,189319.85,341248.01,Low,Real Estate,Stocks,26.59,0.56,570561.5,None
CUSTW-01048,2842189.8,498686.98,High,Savings,Gold,27.25,0.06,784397.18,Robo-Advisor
CUSTW-01049,4452980.18,484222.78,High,Cryptocurrency,Gold,38.07,0.36,118598.08,Robo-Advisor
CUSTW-01050,1099060.15,425259.11,Moderate,Bonds,Real Estate,32.66,0.13,202960.11,None
CUSTW-01051,1098192.78,421708.86,High,Mutual Funds,Stocks,6.25,0.51,921250.21,Robo-Advisor
CUSTW-01052,380513.76,109047.29,Low,Gold,Stocks,25.27,0.88,350114.6,Robo-Advisor
CUSTW-01053,154976.63,346861.89,Moderate,Real Estate,Gold,23.82,0.34,668474.62,None
CUSTW-01054,4459408.26,307885.15,High,Real Estate,Savings,39.5,0.32,190322.79,Human Financial Advisor
CUSTW-01055,1666984.39,230142.4,Low,Stocks,Mutual Funds,40.77,0.93,542695.79,Human Financial Advisor
CUSTW-01056,4840245.82,353718.0,Moderate,Stocks,Real Estate,42.47,0.68,932286.49,Human Financial Advisor
CUSTW-01057,811095.39,479787.46,High,Stocks,Gold,45.92,0.44,990237.27,None
CUSTW-01058,2285216.44,283794.24,Low,Real Estate,Stocks,16.96,0.9,66654.45,Robo-Advisor
CUSTW-01059,2562144.14,199530.21,Moderate,Savings,Cryptocurrency,41.15,0.58,505401.77,Robo-Advisor
CUSTW-01060,437222.35,358588.71,High,Savings,Cryptocurrency,15.07,0.61,368107.47,None
CUSTW-01061,2331723.03,340991.73,Low,Savings,Cryptocurrency,13.46,0.74,990685.14,Human Financial Advisor
CUSTW-01062,1578039.44,377900.77,Moderate,Stocks,Gold,13.56,0.49,699154.84,None
CUSTW-01063,2468059.92,269371.26,Moderate,Real Estate,Mutual Funds,19.25,0.08,101983.0,Robo-Advisor
CUSTW-01064,726946.08,391686.16,High,Real Estate,Bonds,28.44,0.1,608455.58,Robo-Advisor
CUSTW-01065,4140351.09,242925.78,Moderate,Savings,Cryptocurrency,30.53,0.68,303707.83,None
CUSTW-01066,4556878.33,95276.12,Moderate,Gold,Cryptocurrency,28.58,0.24,361146.15,Human Financial Advisor
CUSTW-01067,1178448.41,430581.16,High,Bonds,Savings,42.21,0.85,268948.95,None
CUSTW-01068,1163034.13,73320.86,Low,Gold,Bonds,11.78,0.91,833539.13,Human Financial Advisor
CUSTW-01069,4088196.22,203297.13,Low,Cryptocurrency,Stocks,42.86,0.16,478969.92,Robo-Advisor
CUSTW-01070,2996906.62,357825.35,Moderate,Cryptocurrency,Savings,46.86,0.25,857447.09,Human Financial Advisor
CUSTW-01071,2407574.96,209643.04,Moderate,Stocks,Mutual Funds,14.57,0.79,886820.01,Robo-Advisor
CUSTW-01072,4859846.98,341780.25,Moderate,Savings,Cryptocurrency,49.83,0.45,521691.04,Robo-Advisor
CUSTW-01073,1717150.79,190807.5,Moderate,Savings,Gold,32.89,0.77,351990.83,None
CUSTW-01074,3768064.08,53180.13,Moderate,Bonds,Gold,32.91,0.92,996467.94,Robo-Advisor
CUSTW-01075,1635449.89,212942.01,Moderate,Real Estate,Cryptocurrency,7.5,0.1,7093.04,Robo-Advisor
CUSTW-01076,1314948.68,39422.42,Low,Gold,Real Estate,39.44,0.28,972664.03,Robo-Advisor
CUSTW-01077,4887887.4,35502.96,High,Savings,Real Estate,22.99,0.27,242278.58,None
CUSTW-01078,1568668.15,432627.69,Moderate,Real Estate,Bonds,33.61,0.74,398279.56,None
CUSTW-01079,37163.4,282345.78,Low,Real Estate,Mutual Funds,31.57,0.69,471330.67,Robo-Advisor
CUSTW-01080,2282289.78,45769.59,Moderate,Gold,Savings,9.17,0.42,766533.67,Human Financial Advisor
CUSTW-01081,1470387.4,209435.73,High,Bonds,Real Estate,30.2,0.73,881966.4,None
CUSTW-01082,320762.92,75879.9,Moderate,Savings,Mutual Funds,6.03,0.56,242521.69,None
CUSTW-01083,3266053.53,145508.46,Moderate,Cryptocurrency,Savings,40.06,0.05,927617.39,Human Financial Advisor
CUSTW-01084,4170378.29,444966.22,Low,Cryptocurrency,Stocks,25.5,0.08,998367.41,Robo-Advisor
CUSTW-01085,2642694.31,411805.73,Low,Cryptocurrency,Savings,29.07,0.07,132650.42,Human Financial Advisor
CUSTW-01086,3014212.87,98584.21,Moderate,Cryptocurrency,Gold,27.15,0.97,671780.42,Human Financial Advisor
CUSTW-01087,2603831.16,326374.97,Moderate,Gold,Bonds,44.69,0.4,924054.51,None
CUSTW-01088,4864039.99,338894.5,Moderate,Stocks,Savings,6.0,0.73,960369.65,Human Financial Advisor
CUSTW-01089,4964578.38,211117.91,Moderate,Cryptocurrency,Real Estate,44.86,0.3,835352.57,Human Financial Advisor
CUSTW-01090,3098340.9,184110.14,High,Gold,Real Estate,45.9,0.27,755683.3,None
CUSTW-01091,2608577.09,450562.63,Low,Cryptocurrency,Real Estate,14.59,0.07,79879.58,None
CUSTW-01092,869663.6,198084.5,Low,Stocks,Bonds,38.21,0.12,106752.05,None
CUSTW-01093,2774397.3,334265.88,Low,Real Estate,Gold,11.25,0.28,921705.47,None
CUSTW-01094,388279.26,239048.35,Moderate,Savings,Mutual Funds,29.74,0.39,819757.24,Human Financial Advisor
CUSTW-01095,1616465.93,330985.52,Low,Stocks,Savings,5.53,0.74,956735.91,Human Financial Advisor
CUSTW-01096,4061655.79,491732.03,Moderate,Real Estate,Stocks,5.74,0.87,72726.95,Human Financial Advisor
CUSTW-01097,4142581.86,439141.68,High,Stocks,Savings,17.63,0.93,824883.25,None
CUSTW-01098,4672975.51,467619.05,Moderate,Bonds,Gold,26.62,0.06,593568.38,None
CUSTW-01099,109775.22,78727.04,Low,Real Estate,Mutual Funds,37.41,0.15,893322.04,None
CUSTW-01100,3760529.76,166382.45,Moderate,Cryptocurrency,Bonds,13.52,0.75,21215.56,None
CUSTW-01101,1755348.3,124310.58,Moderate,Gold,Real Estate,48.07,1.0,991962.47,Robo-Advisor
CUSTW-01102,1016012.7,425321.6,Low,Stocks,Bonds,34.96,0.24,532322.07,Human Financial Advisor
CUSTW-01103,979298.22,85137.03,Low,Cryptocurrency,Savings,46.86,0.47,339793.4,None
CUSTW-01104,448462.84,91165.92,High,Cryptocurrency,Stocks,37.68,0.67,553286.32,Human Financial Advisor
CUSTW-01105,2105899.36,161967.42,Moderate,Gold,Savings,27.31,0.81,975901.81,Human Financial Advisor
CUSTW-01106,3643674.65,318977.89,Low,Cryptocurrency,Savings,28.65,0.21,33772.7,Human Financial Advisor
CUSTW-01107,2676154.15,379332.32,Low,Mutual Funds,Real Estate,42.07,0.23,245353.88,Human Financial Advisor
CUSTW-01108,111445.16,253945.39,High,Stocks,Gold,30.08,0.89,837501.42,Human Financial Advisor
CUSTW-01109,3175464.45,469559.05,Low,Mutual Funds,Cryptocurrency,12.93,0.0,939508.57,Robo-Advisor
CUSTW-01110,2751159.52,168212.22,High,Gold,Bonds,43.3,0.73,207968.89,Robo-Advisor
CUSTW-01111,4018377.84,341147.98,Low,Gold,Mutual Funds,36.12,0.57,700977.4,Human Financial Advisor
CUSTW-01112,652285.32,486914.99,Moderate,Mutual Funds,Real Estate,26.34,0.56,75788.94,Human Financial Advisor
CUSTW-01113,334441.99,466848.98,High,Stocks,Savings,10.38,0.68,268222.61,None
CUSTW-01114,339991.08,215935.54,High,Real Estate,Stocks,21.93,0.02,504825.08,None
CUSTW-01115,3854141.68,183558.99,High,Mutual Funds,Real Estate,33.31,0.51,384943.35,Robo-Advisor
CUSTW-01116,2378278.44,390403.57,Low,Gold,Bonds,20.57,0.37,249844.61,Robo-Advisor
CUSTW-01117,3543858.21,174719.77,Low,Stocks,Bonds,19.12,0.02,432411.98,Human Financial Advisor
CUSTW-01118,3996906.75,156589.18,High,Cryptocurrency,Savings,7.43,0.44,631563.97,Human Financial Advisor
CUSTW-01119,985780.95,335011.61,Moderate,Real Estate,Bonds,15.79,0.12,94913.25,Robo-Advisor
CUSTW-01120,4786976.01,81525.54,Low,Gold,Real Estate,8.18,0.62,396868.12,Human Financial Advisor
CUSTW-01121,698014.71,370505.07,Moderate,Bonds,Mutual Funds,33.32,0.38,679773.59,Human Financial Advisor
CUSTW-01122,2148065.8,379847.43,Moderate,Savings,Cryptocurrency,12.76,0.16,491243.92,Human Financial Advisor
CUSTW-01123,1653629.64,39634.03,High,Real Estate,Gold,11.94,0.37,665039.15,Human Financial Advisor
CUSTW-01124,431815.6,489267.5,Low,Cryptocurrency,Mutual Funds,23.66,0.13,894829.24,None
CUSTW-01125,987443.97,427343.6,Moderate,Savings,Bonds,43.61,0.8,379101.7,Human Financial Advisor
CUSTW-01126,1799174.13,224218.66,Moderate,Savings,Gold,18.11,0.15,185301.55,None
CUSTW-01127,1877623.22,266801.49,High,Gold,Mutual Funds,15.61,0.51,586522.24,Robo-Advisor
CUSTW-01128,1117992.93,338376.33,Moderate,Real Estate,Bonds,18.89,0.33,53289.19,Robo-Advisor
CUSTW-01129,496727.35,172630.49,High,Gold,Savings,5.61,0.08,973328.89,None
CUSTW-01130,990094.63,166896.0,High,Mutual Funds,Real Estate,38.63,0.63,810202.65,Human Financial Advisor
CUSTW-01131,800065.52,424272.97,High,Savings,Mutual Funds,37.72,0.19,289671.66,None
CUSTW-01132,107983.8,49440.61,Low,Gold,Bonds,11.61,0.09,635894.48,None
CUSTW-01133,2658839.05,114495.04,Low,Stocks,Gold,44.92,0.08,358210.42,None
CUSTW-01134,4063029.86,298229.27,Low,Savings,Gold,16.32,0.52,101882.94,Human Financial Advisor
CUSTW-01135,4871162.42,49915.48,Low,Savings,Cryptocurrency,15.29,0.3,587973.05,Robo-Advisor
CUSTW-01136,3823552.53,301602.62,High,Savings,Cryptocurrency,48.54,0.63,600941.64,None
CUSTW-01137,4842407.08,190994.86,Moderate,Real Estate,Mutual Funds,12.05,0.03,997145.82,Human Financial Advisor
CUSTW-01138,3965677.08,391296.73,Low,Stocks,Cryptocurrency,32.05,0.98,552148.54,None
CUSTW-01139,1109331.25,289539.7,Moderate,Real Estate,Bonds,38.47,0.13,389697.8,None
CUSTW-01140,4976828.11,342561.53,Low,Stocks,Real Estate,14.56,0.9,37028.79,None
CUSTW-01141,2480372.35,492535.37,Moderate,Gold,Real Estate,5.14,0.32,657350.01,Human Financial Advisor
CUSTW-01142,520231.37,333185.41,Moderate,Savings,Real Estate,5.16,0.8,705238.38,Robo-Advisor
CUSTW-01143,3492940.25,394640.61,Moderate,Savings,Stocks,20.08,0.87,482626.9,Human Financial Advisor
CUSTW-01144,2685591.2,241641.95,High,Savings,Real Estate,8.88,0.49,461160.53,Robo-Advisor
CUSTW-01145,3558658.2,356640.88,High,Gold,Real Estate,17.18,0.32,368830.93,Human Financial Advisor
CUSTW-01146,2820495.0,98538.19,Moderate,Bonds,Cryptocurrency,20.02,0.15,383012.0,None
CUSTW-01147,3508753.26,420424.87,High,Stocks,Gold,37.36,0.64,309767.25,Human Financial Advisor
CUSTW-01148,965809.95,133560.23,Moderate,Mutual Funds,Cryptocurrency,29.12,0.22,966566.67,Human Financial Advisor
CUSTW-01149,1160887.59,302806.93,High,Mutual Funds,Savings,26.52,0.16,110047.76,Human Financial Advisor
CUSTW-01150,3814026.29,103239.84,Low,Stocks,Real Estate,37.31,0.42,425777.65,None
CUSTW-01151,2166061.88,252652.43,Low,Gold,Mutual Funds,49.96,0.75,103312.18,Robo-Advisor
CUSTW-01152,2774254.69,390945.42,Moderate,Stocks,Real Estate,21.14,0.85,566074.09,Robo-Advisor
CUSTW-01153,3406091.72,233034.82,Low,Mutual Funds,Gold,13.93,0.5,385283.45,Human Financial Advisor
CUSTW-01154,248101.96,39877.27,Low,Real Estate,Gold,42.68,0.57,299159.1,Robo-Advisor
CUSTW-01155,4076285.62,192407.69,Moderate,Gold,Real Estate,48.28,0.34,165864.31,None
CUSTW-01156,794021.3,89119.96,Low,Gold,Stocks,44.49,0.63,530568.36,Human Financial Advisor
CUSTW-01157,1243710.62,214307.65,Moderate,Bonds,Mutual Funds,17.82,0.01,115026.2,Robo-Advisor
CUSTW-01158,1267860.59,70178.84,Low,Real Estate,Savings,24.12,0.66,744163.24,Robo-Advisor
CUSTW-01159,4732807.85,49621.43,Moderate,Real Estate,Gold,40.26,0.79,566080.09,Robo-Advisor
CUSTW-01160,1303969.8,460539.04,Low,Real Estate,Savings,31.7,0.47,243562.06,Robo-Advisor
CUSTW-01161,2487549.21,325353.19,Low,Cryptocurrency,Gold,21.96,0.65,126967.2,Human Financial Advisor
CUSTW-01162,3838578.06,323863.59,Moderate,Mutual Funds,Savings,27.63,0.38,355456.64,Human Financial Advisor
CUSTW-01163,4870504.53,323775.03,Low,Savings,Stocks,22.59,0.2,2818.05,Human Financial Advisor
CUSTW-01164,4325157.01,179640.46,High,Gold,Bonds,48.99,0.45,581265.15,Human Financial Advisor
CUSTW-01165,514232.4,284874.46,Moderate,Cryptocurrency,Bonds,17.18,0.66,431431.99,Human Financial Advisor
CUSTW-01166,2288738.21,401937.11,Low,Cryptocurrency,Real Estate,46.79,0.22,303820.89,Robo-Advisor
CUSTW-01167,3935260.58,342186.46,High,Cryptocurrency,Stocks,39.32,0.15,392930.62,None
CUSTW-01168,203258.08,333963.21,Low,Cryptocurrency,Real Estate,9.34,0.02,990865.45,None
CUSTW-01169,4964937.73,409452.05,High,Cryptocurrency,Stocks,17.01,0.52,222660.93,None
CUSTW-01170,359663.55,295749.81,High,Cryptocurrency,Bonds,36.37,0.41,382979.1,Robo-Advisor
CUSTW-01171,4119648.91,424924.64,High,Bonds,Gold,44.93,0.5,388497.93,None
CUSTW-01172,1772180.14,134029.78,Low,Gold,Cryptocurrency,32.26,0.72,795241.5,Robo-Advisor
CUSTW-01173,1822198.46,313717.22,Moderate,Mutual Funds,Savings,47.32,0.66,839893.56,None
CUSTW-01174,2766178.03,333891.41,Moderate,Savings,Gold,19.37,0.76,539454.56,Robo-Advisor
CUSTW-01175,1278653.66,268140.32,High,Stocks,Bonds,12.16,0.01,222590.63,Human Financial Advisor
CUSTW-01176,3375068.46,99830.51,Low,Savings,Real Estate,34.07,0.18,666651.24,Human Financial Advisor
CUSTW-01177,4578966.22,332566.69,High,Real Estate,Gold,22.1,0.87,617333.81,Robo-Advisor
CUSTW-01178,1920437.96,199766.35,Moderate,Cryptocurrency,Savings,39.77,0.81,455048.82,Human Financial Advisor
CUSTW-01179,1160758.11,434886.74,Moderate,Bonds,Stocks,30.13,0.38,194003.42,None
CUSTW-01180,4514211.57,333173.51,Moderate,Real Estate,Cryptocurrency,29.12,0.18,663432.32,Robo-Advisor
CUSTW-01181,3579278.9,256010.11,Moderate,Real Estate,Savings,22.9,0.61,478927.37,None
CUSTW-01182,3463468.46,186516.69,High,Bonds,Real Estate,43.63,0.93,196063.65,Human Financial Advisor
CUSTW-01183,3226587.17,125060.89,Low,Mutual Funds,Cryptocurrency,26.38,0.15,14313.89,Human Financial Advisor
